# turn             x            px             y            py             z            pz   track state
    91   4.53782E-05  -3.92163E-06   0.00000E+00   0.00000E+00  -1.13449E-04   1.70000E-02            -9
    92   4.41252E-05   4.11581E-06   0.00000E+00   0.00000E+00  -1.14679E-04   1.70000E-02            -9
    93   2.79938E-06   2.28938E-06   0.00000E+00   0.00000E+00  -1.15948E-04   1.70000E-02            -9
    94   2.04628E-05  -5.02725E-06   0.00000E+00   0.00000E+00  -1.17232E-04   1.70000E-02            -9
    95   5.47801E-05  -2.91252E-07   0.00000E+00   0.00000E+00  -1.18477E-04   1.70000E-02            -9
    96   2.34765E-05   5.14263E-06   0.00000E+00   0.00000E+00  -1.19718E-04   1.70000E-02            -9
    97   1.60274E-06  -1.75216E-06   0.00000E+00   0.00000E+00  -1.21002E-04   1.70000E-02            -9
    98   4.15860E-05  -4.44500E-06   0.00000E+00   0.00000E+00  -1.22273E-04   1.70000E-02            -9
    99   4.75845E-05   3.51538E-06   0.00000E+00   0.00000E+00  -1.23504E-04   1.70000E-02            -9
   100   5.21591E-06   3.05132E-06   0.00000E+00   0.00000E+00  -1.24768E-04   1.70000E-02            -9
   101   1.60451E-05  -4.72988E-06   0.00000E+00   0.00000E+00  -1.26054E-04   1.70000E-02            -9
   102   5.41171E-05  -1.17061E-06   0.00000E+00   0.00000E+00  -1.27303E-04   1.70000E-02            -9
   103   2.81579E-05   5.19368E-06   0.00000E+00   0.00000E+00  -1.28540E-04   1.70000E-02            -9
   104   4.06386E-07  -8.92193E-07   0.00000E+00   0.00000E+00  -1.29822E-04   1.70000E-02            -9
   105   3.73789E-05  -4.83841E-06   0.00000E+00   0.00000E+00  -1.31097E-04   1.70000E-02            -9
   106   5.04532E-05   2.81223E-06   0.00000E+00   0.00000E+00  -1.32329E-04   1.70000E-02            -9
   107   8.28186E-06   3.72380E-06   0.00000E+00   0.00000E+00  -1.33588E-04   1.70000E-02            -9
   108   1.19603E-05  -4.29397E-06   0.00000E+00   0.00000E+00  -1.34875E-04   1.70000E-02            -9
   109   5.26723E-05  -2.01577E-06   0.00000E+00   0.00000E+00  -1.36129E-04   1.70000E-02            -9
   110   3.28177E-05   5.09274E-06   0.00000E+00   0.00000E+00  -1.37363E-04   1.70000E-02            -9
   111   1.85804E-11  -6.05534E-09   0.00000E+00   0.00000E+00  -1.38642E-04   1.70000E-02            -9
   112   3.28803E-05  -5.09033E-06   0.00000E+00   0.00000E+00  -1.39921E-04   1.70000E-02            -9
   113   5.26474E-05   2.02691E-06   0.00000E+00   0.00000E+00  -1.41155E-04   1.70000E-02            -9
   114   1.19076E-05   4.28714E-06   0.00000E+00   0.00000E+00  -1.42409E-04   1.70000E-02            -9
   115   8.32763E-06  -3.73224E-06   0.00000E+00   0.00000E+00  -1.43695E-04   1.70000E-02            -9
   116   5.04878E-05  -2.80205E-06   0.00000E+00   0.00000E+00  -1.44955E-04   1.70000E-02            -9
   117   3.73194E-05   4.84281E-06   0.00000E+00   0.00000E+00  -1.46186E-04   1.70000E-02            -9
   118   3.95509E-07   8.80260E-07   0.00000E+00   0.00000E+00  -1.47462E-04   1.70000E-02            -9
   119   2.82217E-05  -5.19333E-06   0.00000E+00   0.00000E+00  -1.48743E-04   1.70000E-02            -9
   120   5.41027E-05   1.18239E-06   0.00000E+00   0.00000E+00  -1.49980E-04   1.70000E-02            -9
   121   1.59871E-05   4.72486E-06   0.00000E+00   0.00000E+00  -1.51230E-04   1.70000E-02            -9
   122   5.25343E-06  -3.06111E-06   0.00000E+00   0.00000E+00  -1.52516E-04   1.70000E-02            -9
   123   4.76277E-05  -3.50647E-06   0.00000E+00   0.00000E+00  -1.53780E-04   1.70000E-02            -9
   124   4.15313E-05   4.45125E-06   0.00000E+00   0.00000E+00  -1.55010E-04   1.70000E-02            -9
   125   1.58130E-06   1.74076E-06   0.00000E+00   0.00000E+00  -1.56282E-04   1.70000E-02            -9
